Player,Team,Conference,Month,Year,Award
Julius Randle,New York Knicks,East,April,2021,NBA Player Of The Month
Stephen Curry,Golden State Warriors,West,April,2021,NBA Player Of The Month
James Harden,Brooklyn Nets,East,March,2021,NBA Player Of The Month
Nikola Jokic,Denver Nuggets,West,March,2021,NBA Player Of The Month
James Harden,Brooklyn Nets,East,February,2021,NBA Player Of The Month
Devin Booker,Phoenix Suns,West,February,2021,NBA Player Of The Month
Joel Embiid,Philadelphia Sixers,East,January,2021,NBA Player Of The Month
Nikola Jokic,Denver Nuggets,West,January,2021,NBA Player Of The Month
Giannis Antetokounmpo,Milwaukee Bucks,East,March,2022,NBA Player Of The Month
Nikola Jokic,Denver Nuggets,West,March,2022,NBA Player Of The Month
DeMar DeRozan,Chicago Bulls,East,February,2022,NBA Player Of The Month
Luka Doncic,Dallas Mavericks,West,February,2022,NBA Player Of The Month
Joel Embiid,Philadelphia Sixers,East,January,2022,NBA Player Of The Month
Nikola Jokic,Denver Nuggets,West,January,2022,NBA Player Of The Month
Joel Embiid,Philadelphia Sixers,East,December,2022,NBA Player Of The Month
Donovan Mitchell,Utah Jazz,West,December,2022,NBA Player Of The Month
Kevin Durant,Brooklyn Nets,East,November,2022,NBA Player Of The Month
Stephen Curry,Golden State Warriors,West,November,2022,NBA Player Of The Month
