full_name,ID,player,Contracts
Renaldo Major,https://basketball.realgm.com/player/Renaldo-Major/summary/1055,http://www.wikidata.org/entity/Q3424767,Unrestricted Free Agent
Mickaël Gelabale,https://basketball.realgm.com/player/Mickaël-Gelabale/summary/137,http://www.wikidata.org/entity/Q1375950,Unrestricted Free Agent
Daniel Santiago,https://basketball.realgm.com/player/Daniel-Santiago/summary/718,http://www.wikidata.org/entity/Q745776,Unrestricted Free Agent
Rudy Gobert,https://basketball.realgm.com/player/Rudy-Gobert/summary/25858,http://www.wikidata.org/entity/Q3446792,Under Contract (Minnesota Timberwolves)
Antonio Lang,https://basketball.realgm.com/player/Antonio-Lang/summary/1306,http://www.wikidata.org/entity/Q1627788,Unrestricted Free Agent
Pops Mensah-Bonsu,https://basketball.realgm.com/player/Pops-Mensah-Bonsu/summary/1034,http://www.wikidata.org/entity/Q923075,Unrestricted Free Agent
Rony Seikaly,https://basketball.realgm.com/player/Rony-Seikaly/summary/1318,http://www.wikidata.org/entity/Q787999,Unrestricted Free Agent
Andy Rautins,https://basketball.realgm.com/player/Andy-Rautins/summary/6520,http://www.wikidata.org/entity/Q1364214,Unrestricted Free Agent
Randy Holcomb,https://basketball.realgm.com/player/Randy-Holcomb/summary/498,http://www.wikidata.org/entity/Q2354968,Unrestricted Free Agent
David Thompson,https://basketball.realgm.com/player/David-Thompson/summary/64276,http://www.wikidata.org/entity/Q718669,Unrestricted Free Agent
K. C. Jones,https://basketball.realgm.com/player/K.-C.-Jones/summary/67290,http://www.wikidata.org/entity/Q719836,Unrestricted Free Agent
Lionel Simmons,https://basketball.realgm.com/player/Lionel-Simmons/summary/1470,http://www.wikidata.org/entity/Q1458331,Unrestricted Free Agent
Don Dee,https://basketball.realgm.com/player/Don-Dee/summary/68592,http://www.wikidata.org/entity/Q1463719,Unrestricted Free Agent
Marcus Banks,https://basketball.realgm.com/player/Marcus-Banks/summary/454,http://www.wikidata.org/entity/Q1530759,Unrestricted Free Agent
Maurice Martin,https://basketball.realgm.com/player/Maurice-Martin/summary/49409,http://www.wikidata.org/entity/Q944029,Unrestricted Free Agent
Donta Smith,https://basketball.realgm.com/player/Donta-Smith/summary/411,http://www.wikidata.org/entity/Q1619087,Unrestricted Free Agent
Kelly Olynyk,https://basketball.realgm.com/player/Kelly-Olynyk/summary/8330,http://www.wikidata.org/entity/Q3194911,Under Contract (Utah Jazz)
Gal Mekel,https://basketball.realgm.com/player/Gal-Mekel/summary/7577,http://www.wikidata.org/entity/Q2396103,Unrestricted Free Agent
Erick Barkley,https://basketball.realgm.com/player/Erick-Barkley/summary/521,http://www.wikidata.org/entity/Q2351747,Unrestricted Free Agent
James Anderson,https://basketball.realgm.com/player/James-Anderson/summary/2158,http://www.wikidata.org/entity/Q2419972,Unrestricted Free Agent
Kevin Seraphin,https://basketball.realgm.com/player/Kevin-Seraphin/summary/2429,http://www.wikidata.org/entity/Q2429412,Unrestricted Free Agent
Matthew Dellavedova,https://basketball.realgm.com/player/Matthew-Dellavedova/summary/8530,http://www.wikidata.org/entity/Q2434352,Under Contract (Sacramento Kings)
Adrian Smith,https://basketball.realgm.com/player/Adrian-Smith/summary/66175,http://www.wikidata.org/entity/Q2419803,Unrestricted Free Agent
Ike Diogu,https://basketball.realgm.com/player/Ike-Diogu/summary/94,http://www.wikidata.org/entity/Q2419943,Unrestricted Free Agent
Guillermo Diaz,https://basketball.realgm.com/player/Guillermo-Diaz/summary/117,http://www.wikidata.org/entity/Q2558920,Unrestricted Free Agent
Derek Smith,https://basketball.realgm.com/player/Derek-Smith/summary/4693,http://www.wikidata.org/entity/Q3705847,Unrestricted Free Agent
Jiří Welsch,https://basketball.realgm.com/player/Jiří-Welsch/summary/443,http://www.wikidata.org/entity/Q953837,Unrestricted Free Agent
Tomáš Satoranský,https://basketball.realgm.com/player/Tomáš-Satoranský/summary/24374,http://www.wikidata.org/entity/Q966111,Unrestricted Free Agent (Washington Wizards)
José Ortiz,https://basketball.realgm.com/player/José-Ortiz/summary/2986,http://www.wikidata.org/entity/Q966899,Unrestricted Free Agent
Pape Sow,https://basketball.realgm.com/player/Pape-Sow/summary/402,http://www.wikidata.org/entity/Q2469672,Unrestricted Free Agent
Bryce Drew,https://basketball.realgm.com/player/Bryce-Drew/summary/572,http://www.wikidata.org/entity/Q958710,Current Team: Grand Canyon
Žarko Čabarkapa,https://basketball.realgm.com/player/Žarko-Čabarkapa/summary/457,http://www.wikidata.org/entity/Q2458102,Unrestricted Free Agent
Michael Ruffin,https://basketball.realgm.com/player/Michael-Ruffin/summary/232,http://www.wikidata.org/entity/Q975034,Unrestricted Free Agent
Nathan Jawai,https://basketball.realgm.com/player/Nathan-Jawai/summary/810,http://www.wikidata.org/entity/Q1825983,Unrestricted Free Agent
