Player,Team,Conference,Month,Year,Award,in
DeMar DeRozan,Toronto Raptors,East,January,2016,NBA Player Of The Month,2016-01-01 00:00:00
Kyle Lowry,Toronto Raptors,East,January,2016,NBA Player Of The Month,2016-01-01 00:00:00
Kevin Durant,Oklahoma City Thunder,West,January,2016,NBA Player Of The Month,2016-01-01 00:00:00
John Wall,Washington Wizards,East,December,2016,NBA Player Of The Month,2016-12-01 00:00:00
Kevin Durant,Oklahoma City Thunder,West,December,2016,NBA Player Of The Month,2016-12-01 00:00:00
Russell Westbrook,Oklahoma City Thunder,West,December,2016,NBA Player Of The Month,2016-12-01 00:00:00
Paul George,Indiana Pacers,East,November,2016,NBA Player Of The Month,2016-11-01 00:00:00
Stephen Curry,Golden State Warriors,West,November,2016,NBA Player Of The Month,2016-11-01 00:00:00
Paul George,Indiana Pacers,East,April,2017,NBA Player Of The Month,2017-04-01 00:00:00
Chris Paul,Los Angeles Clippers,West,April,2017,NBA Player Of The Month,2017-04-01 00:00:00
Giannis Antetokounmpo,Milwaukee Bucks,East,March,2017,NBA Player Of The Month,2017-03-01 00:00:00
Damian Lillard,Portland Trail Blazers,West,March,2017,NBA Player Of The Month,2017-03-01 00:00:00
LeBron James,Cleveland Cavaliers,East,February,2017,NBA Player Of The Month,2017-02-01 00:00:00
Russell Westbrook,Oklahoma City Thunder,West,February,2017,NBA Player Of The Month,2017-02-01 00:00:00
Isaiah Thomas,Boston Celtics,East,January,2017,NBA Player Of The Month,2017-01-01 00:00:00
Stephen Curry,Golden State Warriors,West,January,2017,NBA Player Of The Month,2017-01-01 00:00:00
Kevin Durant,Golden State Warriors,West,January,2017,NBA Player Of The Month,2017-01-01 00:00:00
John Wall,Washington Wizards,East,December,2017,NBA Player Of The Month,2017-12-01 00:00:00
James Harden,Houston Rockets,West,December,2017,NBA Player Of The Month,2017-12-01 00:00:00
LeBron James,Cleveland Cavaliers,East,November,2017,NBA Player Of The Month,2017-11-01 00:00:00
Russell Westbrook,Oklahoma City Thunder,West,November,2017,NBA Player Of The Month,2017-11-01 00:00:00
LeBron James,Cleveland Cavaliers,East,March,2018,NBA Player Of The Month,2018-03-01 00:00:00
Anthony Davis,New Orleans Pelicans,West,March,2018,NBA Player Of The Month,2018-03-01 00:00:00
LeBron James,Cleveland Cavaliers,East,February,2018,NBA Player Of The Month,2018-02-01 00:00:00
Anthony Davis,New Orleans Pelicans,West,February,2018,NBA Player Of The Month,2018-02-01 00:00:00
DeMar DeRozan,Toronto Raptors,East,January,2018,NBA Player Of The Month,2018-01-01 00:00:00
Stephen Curry,Golden State Warriors,West,January,2018,NBA Player Of The Month,2018-01-01 00:00:00
LeBron James,Cleveland Cavaliers,East,December,2018,NBA Player Of The Month,2018-12-01 00:00:00
Russell Westbrook,Oklahoma City Thunder,West,December,2018,NBA Player Of The Month,2018-12-01 00:00:00
LeBron James,Cleveland Cavaliers,East,November,2018,NBA Player Of The Month,2018-11-01 00:00:00
James Harden,Houston Rockets,West,November,2018,NBA Player Of The Month,2018-11-01 00:00:00
Giannis Antetokounmpo,Milwaukee Bucks,East,March,2019,NBA Player Of The Month,2019-03-01 00:00:00
James Harden,Houston Rockets,West,March,2019,NBA Player Of The Month,2019-03-01 00:00:00
Giannis Antetokounmpo,Milwaukee Bucks,East,February,2019,NBA Player Of The Month,2019-02-01 00:00:00
Paul George,Oklahoma City Thunder,West,February,2019,NBA Player Of The Month,2019-02-01 00:00:00
Joel Embiid,Philadelphia Sixers,East,January,2019,NBA Player Of The Month,2019-01-01 00:00:00
James Harden,Houston Rockets,West,January,2019,NBA Player Of The Month,2019-01-01 00:00:00
Giannis Antetokounmpo,Milwaukee Bucks,East,December,2019,NBA Player Of The Month,2019-12-01 00:00:00
James Harden,Houston Rockets,West,December,2019,NBA Player Of The Month,2019-12-01 00:00:00
Giannis Antetokounmpo,Milwaukee Bucks,East,November,2019,NBA Player Of The Month,2019-11-01 00:00:00
Tobias Harris,Los Angeles Clippers,West,November,2019,NBA Player Of The Month,2019-11-01 00:00:00
Jayson Tatum,Boston Celtics,East,February,2020,NBA Player Of The Month,2020-02-01 00:00:00
LeBron James,Los Angeles Lakers,West,February,2020,NBA Player Of The Month,2020-02-01 00:00:00
Giannis Antetokounmpo,Milwaukee Bucks,East,January,2020,NBA Player Of The Month,2020-01-01 00:00:00
LeBron James,Los Angeles Lakers,West,January,2020,NBA Player Of The Month,2020-01-01 00:00:00
Giannis Antetokounmpo,Milwaukee Bucks,East,December,2020,NBA Player Of The Month,2020-12-01 00:00:00
James Harden,Houston Rockets,West,December,2020,NBA Player Of The Month,2020-12-01 00:00:00
Giannis Antetokounmpo,Milwaukee Bucks,East,November,2020,NBA Player Of The Month,2020-11-01 00:00:00
Luka Doncic,Dallas Mavericks,West,November,2020,NBA Player Of The Month,2020-11-01 00:00:00
Russell Westbrook,Washington Wizards,East,May,2021,NBA Player Of The Month,2021-05-01 00:00:00
Stephen Curry,Golden State Warriors,West,May,2021,NBA Player Of The Month,2021-05-01 00:00:00
Julius Randle,New York Knicks,East,April,2021,NBA Player Of The Month,2021-04-01 00:00:00
Stephen Curry,Golden State Warriors,West,April,2021,NBA Player Of The Month,2021-04-01 00:00:00
James Harden,Brooklyn Nets,East,March,2021,NBA Player Of The Month,2021-03-01 00:00:00
Nikola Jokic,Denver Nuggets,West,March,2021,NBA Player Of The Month,2021-03-01 00:00:00
James Harden,Brooklyn Nets,East,February,2021,NBA Player Of The Month,2021-02-01 00:00:00
Devin Booker,Phoenix Suns,West,February,2021,NBA Player Of The Month,2021-02-01 00:00:00
Joel Embiid,Philadelphia Sixers,East,January,2021,NBA Player Of The Month,2021-01-01 00:00:00
Nikola Jokic,Denver Nuggets,West,January,2021,NBA Player Of The Month,2021-01-01 00:00:00
Giannis Antetokounmpo,Milwaukee Bucks,East,March,2022,NBA Player Of The Month,2022-03-01 00:00:00
Nikola Jokic,Denver Nuggets,West,March,2022,NBA Player Of The Month,2022-03-01 00:00:00
